News Site,Article Title,Article Text
foxnews,Sheriff Clarke: US Must Enforce Its Borders Under Trump,
foxnews,Will Donald Trump be able to unite the country?,
foxnews,Teen Idol Bobby Rydellâ€™s Long-Lasting Career Comes to Life in Latest Book,"American singer Bobby Rydellâ€™s career spans over six decades long. Rydell was a teen-idol in the late 50â€™s with hit songs like â€œVolareâ€ù, â€œWild Oneâ€ù, â€œKissinâ€™ Timeâ€ù and many more.
Rydell was the youngest headliner to play the Copacabana in New York and also starred in the movie version of Broadwayâ€™s â€œBye Bye Birdieâ€ù, playing Hugo Peabody.
Rydellâ€™s new book: â€œTEEN IDOL ON THE ROCKS: A Tale of Second Chancesâ€ù goes into his vivid childhood on the fabled mid-20th-century streets of South Philadelphia, to his reign as the Justin Bieber of the â€œCamelotâ€ù era, his battles with alcoholism, and his lifesaving double-transplant surgery.
FOXâ€™s Dave Anthony spends â€œA Few Moments Withâ€_â€ù the legendary Bobby Rydell:
Stay in touch with Bobby Rydell on Facebook"
foxnews,Newt Gingrich: CNN started on the left and went to the left,
foxnews,Utah man held in Venezuela since June has court hearing delayed for the 4th time,"A Utah family has once again received a crushing blow about their jailed son, 24-year-old Joshua Holt.
Holt has been in imprisoned in Venezuela since June on weapon charges, and any hopes he had of being reunited with his family by Christmas were dashed Tuesday with the fourth postponement of his preliminary hearing.
Judge Elena Cassiani did not appear for the scheduled hearing at which she was supposed to rule on whether to dismiss the charges against Holt. A new date was set for January.
Josh was scheduled for a hearing in September, and then in October, and again in November, but in every case the judge failed to appear.
The courts are closed through the holidays.
â€œThat will mean three years of holidays without my son,â€ù Josh's mother, Laurie MoonHolt told FNL.
Holt, a former Mormon missionary traveled to Venezuela to marry a woman he met online while looking for Spanish-speaking Mormons to help him improve his Spanish. Venezuelan officials allege he was using his wife's apartment to stockpile weapons and have suggested his case is linked to other unspecified attempts by the U.S. government to undermine President Nicolas Maduro's socialist rule amid deep economic and political turbulence.
The U.S. House passed a resolution in September calling for the release of Holt and other political prisoners in Venezuela. Secretary of State John Kerry raised Holt's jailing during a meeting with Maduro in September, and a senior State Department official traveled to Caracas twice in recent weeks in part to push for his release.
The pressure has so far yielded no tangible results. Human rights groups contend Maduro's government is using Holt and his jailed wife, an Ecuadorian national, as bargaining chips to extract concessions from the United States.
Holt is being held in a prison in Caracas run by Venezuela's intelligence police. The facility also holds a number of activists that the opposition considers political prisoners.
His lawyer says that Holt has lost considerable weight and suffered from a host of ailments, including kidney stones. Holt also has allegedly had to endure harassment by prison guards who forced him to strip naked in a hallway and perform exercises.
The Holts have hired a team of lawyers in an effort to get Josh and Thamara released, and kept the story alive via social media.
In a letter from jail, Holt said the assault rifle and a grenade found in his wife's apartment were planted when he refused to pay police a bribe during a routine raid in the government-built housing complex where he was staying with his wife and her son.
Interior Minister Gustavo Gonzalez, who oversees the intelligence police and was sanctioned by the Obama administration in 2014 for human rights abuses, has called Holt a ""trained gunman"" intent on destabilizing Venezuela.
Based on reporting by the Associated Press.
Like us on Facebook
Follow us on Twitter & Instagram"
foxnews,1994 Heisman Trophy Winner Rashaan Salaam Found Dead,"On the day that authorities announce charges against the man who shot former NFL running back Joe McKnight to death, news that another former running back has also died.
FOXâ€™s Chris Hoenig reports:
1994 Heisman Trophy winner Rashaan Salaam was found dead in the parking lot of a Boulder, Colorado, park Monday night:
(Cordingly) â€œAt this time, there is no indication of foul play. There is no threat to the community. The cause of death will be released by the Coronerâ€™s office.â€ù
Boulder police spokeswoman Shannon Cordingly. Salaam ran for more than 2,000 yards in 1994, leading the University of Colorado Buffaloes to an (11-1) record that included a victory over Notre Dame in the Fiesta Bowl.
He was drafted in the first-round the following year by the Chicago Bears, where he ran for more than 1,000 yards as a rookie. But his production dropped off over the next two years and he played his last game in the NFL in 1999 with the Cleveland Browns.
Rashaan Salaam was 42-years-old.
Chris Hoenig, FOX News.
Follow Chris Hoenig on Twitter: @Chris_Hoenig"
foxnews,Sen. Mike Enzi: My plan to put Congress on a 'diet' and fix our broken budget process,"As this year draws to a close, we are once again approaching a federal budget deadline that will likely be postponed. Over the last 40 years, since the modern budget process was established, Congress has enacted 175 temporary spending bills, formally known as â€˜continuing resolutions,â€™ to avoid doing its job. Itâ€™s time to change the way Congress does business.
The November election results showed that hardworking taxpayers are eager for real change. With a new president taking office on January 20th, Congress has an opportunity â€“ and responsibility â€“ to get back to work.
The first step must be fixing Americaâ€™s broken budget process to provide our nation with a responsible fiscal blueprint and help guide our spending decisions now and into the future. As chairman of the Senate Budget Committee, this will be one of my top priorities in the new congress.
We are a nation on course for a fiscal disaster, because when it comes to spending money, Congress is like a binge eater. We donâ€™t want to start our diet until right AFTER the next dessert. That attitude has led to a mammoth, oversized national debt that, left unchecked, will crush the prosperity of future generations.
We must start spending within our means and establish healthy fiscal habits. Unfortunately, Americaâ€™s broken budget process makes it easy for Congress to spend without ever checking its fiscal waist line.
Currently, only thirty percent of the national budget is annually distributed to federal agencies and programs by Congress. This money funds the activities that most people would associate with good government, such as national defense, education, and infrastructure spending.
We must pass spending bills to fund these government activities every year, forcing a public debate about where taxpayer dollars should be spent.
In fact, this is the portion of the budget that attracts the most congressional scrutiny and debate, and there are limits in place that make it very difficult to spend more than whatâ€™s allotted. But it is not growing rapidly and is not the cause of our unsustainable fiscal course.
The real culprit is the other seventy percent of the federal budget that is spent automatically, without regular congressional action or review.
In just 15 years, it will consume ALL government revenues, as debt interest payments and entitlements continue to grow rapidly. There are no effective limits to the amount that can be spent on this side of the budget, at least until this spending drives America into bankruptcy.
This is how the budget process makes it easy to spend money. There is regular review and strict limits on the small and shrinking portion of the budget. But the much larger automatic spending programs are not regularly reviewed and can grow almost without limit.
To make matters worse, the historically low interest rates that America has relied on to pay its debt are poised to surge, according to the latest signals from the Federal Reserve. When these rates rise, we can expect to spend more every year on interest payments for these loans than we spend on national defense.
The Senate Budget Committee has been working on reforms that would fix Americaâ€™s broken budget process. Many of these reforms strengthen the congressional budget, the only existing tool we have that forces Congress to examine all spending and revenues, including automatic spending, over a ten-year period. This budgeting process should be easier to adopt and harder to ignore. Congress can start by reducing the needless political hurdles to passing a budget and making it harder to ignore overspending once Congress agreed to it.
The congressional budget is easily ignored in the Senate because it takes the same number of votes in the Senate to waive a budget violation that it does to overcome filibuster and pass a bill. The fiscal year 2016 budget was tossed aside in less than 5 weeks. Our rules should make it harder to pass a bill that busts the congressional budget by requiring more votes to waive the violation.
We must also create new rules to ensure Congress passes its annual spending measures on time. The current process has been completed on time only four times in the last 40 years, and the last time it was completed on time was in 1998.
Obviously this year is no exception to the rule. Congress should set aside specific floor time only for consideration of spending bills and enact legislation establishing a two-year spending cycle, so that it has more time to review spending and complete its work. It should also enact Senator Portmanâ€™s legislation that would end government shutdowns to prevent our annual, end-of-year spending crises.
These reforms and others would begin to create healthy fiscal habits that would force Congress to recognize and begin to address the daunting fiscal challenges that face our country.
I will continue to tirelessly work to get as many of these budget reforms as possible enacted in the new Congress. Itâ€™s time to take seriously the crisis that is threatening the future financial solvency of this country.
The American people have spoken, and we owe it to them to put politics aside and get back to work.
Republican Mike Enzi represents Wyoming in the United States Senate where he serves as chairman of the Budget Committee."
foxnews,Hillary Didn't 'Win' Majority of the Popular Vote,"By Matt Vespa | Townhall.com
Democrats are still licking their wounds, their supporters are still shell shocked over President-elect Donald Trumpâ€™s upset win over Clinton, and they keep peddling the myth that Clinton won the majority of the popular vote. They use this to undercut the notion that Trump has a mandate. Enter Sen. Jeff Merkley (D-OR) (via The Hill):
Sen. Jeff Merkley (D-Ore.) blasted Donald Trump on Thursday, saying the president-elect doesn't have a mandate for his ""politics of hate and division.""
""I think most people conclude that the fact that he lost the popular vote is so disturbing to the president-elect because he wants to claim a mandate, but he cannot claim a mandate because a majority of Americans voted against him,"" Merkley said.
Right now, Clinton leads Trump 48/46 in the popular vote. Is that a majority? No, itâ€™s a plurality."
foxnews,Trump picks Iowa Gov. Branstad as ambassador to China,"President-elect Donald Trump has picked Iowa Gov. Terry Branstad for the key post of U.S. Ambassador to China, the transition team announced Wednesday
Branstad met with Trump at Trump Tower in New York Tuesday afternoon.
â€œGovernor Branstadâ€™s decades of experience in public service and long-time relationship with President Xi Jinping and other Chinese leaders make him the ideal choice to serve as Americaâ€™s Ambassador to China,â€ù Trump said in a statement.
""After long discussions with my family, I am honored and humbled to accept President-elect Trumpâ€™s nomination to represent our great country as Ambassador to China,"" Branstad said. ""I have known President Xi Jinping for many years and consider him an old friend. I look forward to building on our long friendship to cultivate and strengthen the relationship between our two countries and to benefit our economy.""
Trump's offer was first reported by Bloomberg.
Trump and Vice President-elect Mike Pence will hold a ""Thank You"" rally for supporters in Des Moines on Thursday. In last month's presidential election, Iowa voters backed the Republican ticket for just the second time since 1984.
Branstad, 70, was an early and staunch supporter of Trump, and his son, Eric, served as the state director for Trump's campaign in Iowa.
Branstad would assume the post at a pivotal moment in U.S-China relations, following Trump's Dec. 2 phone call with Taiwanese President Tsai Ing-wen.
The conversation broke nearly four decades of U.S. diplomatic protocol. Trump followed that with a series of Twitter posts over the weekend challenging China's trade and military policies.
As a presidential candidate, Trump repeatedly accused China of manipulating its currency and trying to ""rape our country"" with unfair trade policies.
Bloomberg reported that Branstad has a longstanding relationship with President Xi. Branstad first met with Chinese President Xi Jinping in 1985, when Xi, then a provincial agricultural official, visited Iowa.
More recently, Brandstad gave a dinner for Xi in Des Moines in 2012 and has visited China four times in the past seven years.
At a campaign rally in Sioux City Nov. 6, Trump called Branstad up to the stage, saying the governor ""would be our prime candidate to take care of China.""
Trump has pledged to be more ""unpredictable"" on the world stage, billing the approach as a much-needed change from President Barack Obama's deliberative style and public forecasting about U.S. policy. But Trump's unpredictability is likely to unnerve both allies and adversaries, leaving glaring questions about whether the foreign policy novice is carrying out planned strategies or acting on impulse.
China's authoritarian government likes predictability in its dealings with other nations, particularly the United States. The U.S. and China are the world's two largest economies with bilateral trade in goods and services reaching nearly $660 billion last year.
While there have been sharp differences between Beijing and Washington on China's island building in the South China Sea and over alleged Chinese cybertheft of U.S. commercial secrets, the two powers have cooperated effectively on climate change and the Iran nuclear deal.
Fox News' Serafin Gomez and the Associated Press contributed to this report."
foxnews,Meet Lilou! The Airport Therapy Pig,"Youâ€™ve heard of therapy dogs, but at San Francisco International Airport thereâ€™s a new addition to the four legged animal therapy team.
FOXâ€™s Jim MacKay has the details:
Who says pigs can be helpful in therapy? The animal assisted therapy program at the San Francisco SPCA just certified LiLou. Sheâ€™s a big that will be greeting passengers and helping people calm down that are afraid of flying at San Francisco international.
LiLou was just introduced as the first non-dog therapy animal in their program. So far so good. Officials at the airport saying sheâ€™s fitting in just fine and gets along with everyone.
LiLou will be making an appearance at the airport at least once a month.
Jim Mackay, FOX News.
Follow Jim Mackay on Twitter: @ JimMacKayOnAir
Follow LiLou the Pig on Instagram: lilou_sfpig"
foxnews,"In a test, cancer hospital customizes diet to help patients","A leading cancer hospital is tackling a big problem that keeps many patients from healingâ€”loss of appetite.
The innovative program, getting under way at NYU Langoneâ€™s Perlmutter Cancer Center in New York City, will design customized diets for patients after assessing their particular reasons for not eating enough, such as nausea, difficulty swallowing or depression. Patients will receive prepared meals at home from a nonprofit group called Godâ€™s Love We Deliver. A randomized controlled trial will assess whether patients benefit from the program.
Cancer patients traditionally get dietary advice, but it may provide little help in overcoming eating difficulties. The NYU program aims to offer patients more concrete solutions. â€œWe are not simply throwing food at them,â€ù says Erin Jennings, an oncology dietitian and a co-investigator on the study. â€œWe are providing a nutritional â€˜interventionâ€™ for them.â€ù
Omar Ishaq, chief resident in radiation oncology at NYU who came up with the nutrition-study idea, says even though patients are getting the very latest in cancer therapies, many of them stop eating and become malnourished. â€œThey end up staying in the hospital and have more complications from treatment,â€ù Dr. Ishaq says.
NYU doctors are beginning to enroll 180 patients with advanced, stage 4 lung and gastrointestinal cancers to participate in the randomized controlled trial. Half the group will be assessed for eating problems and receive customized meals, while the rest will get just the nutrition counseling that NYU typically provides its cancer patients.
Click for more from the Wall Street Journal."
foxnews,Watch How Soldiers Respond When Obama Says No Foreign-Planned Terror Attacks Happened in U.S. Under His Presidency,"BY: JAMES BARRETT | THE DAILY WIRE
In a speech at MacDill Air Force Base in Tampa, Florida on Tuesday, the soon to be former commander-in-chief touted what he deems to be his national security accomplishments. At one point in the speech, Obama claimed that during his tenure no foreign terrorist organization ""has successfully planned and executed an attack on our homeland.""
""We should take great pride in the progress weâ€™ve made over the last eight years,"" Obama declared. ""No foreign terrorist organization has successfully planned and executed an attack on our homeland."""
foxnews,Why Ben Carson's Medical Experience Matters At HUD,"By Ike Swetlitz , Fox News
Ben Carsonâ€™s nomination as secretary of the Department of Housing and Urban Development raised some eyebrows, and not just because Carson had recently said he wasnâ€™t interested in running a federal agency.
The responsibilities of the job â€” running a federal agency whose budget in 2016 neared $50 billion and which is responsible for helping local housing authorities manage over a million households â€” struck some as an odd fit for his training as a neurosurgeon.
â€œAt first, one is struck by the oddity of this appointment of someone whoâ€™s had no history with public housing to the extent that we know of,â€ù said John Spengler, a professor of environmental health at the Harvard T.H. Chan School of Public Health, who has done research on health in public housing.
But public health professionals are hoping that heâ€™ll bring his medical lens to the job â€” pushing for quality housing for low-income people and improving peopleâ€™s health conditions within public housing."
foxnews,Did NASA Mars Rover find a signature of past life?,"During its wheeled treks on the Red Planet, NASA's Spirit rover may have encountered a potential signature of past life on Mars, report scientists at Arizona State University (ASU).
To help make their case, the researchers have contrasted Spirit's study of ""Home Plate"" â€” a plateau of layered rocks that the robot explored during the early part of its third year on Mars â€” with features found within active hot spring/geyser discharge channels at a site in northern Chile called El Tatio.
The work has resulted in a provocative paper: ""Silica deposits on Mars with features resembling hot spring biosignatures at El Tatio in Chile."" [5 Bold Claims of Alien Life]
Field work
As reported online last week in the journal Nature Communications, field work in Chile by the ASU team â€” Steven Ruff and Jack Farmer of the university's School of Earth and Space Exploration â€” shows that the nodular and digitate silica structures at El Tatio that most closely resemble those on Mars include complex sedimentary structures produced by a combination of biotic and abiotic processes.
""Although fully abiotic processes are not ruled out for the Martian silica structures, they satisfy an a priori definition of potential biosignatures,"" the researchers wrote in the study.
Ancient setting
Spirit landed on Mars in January 2004, a few weeks before its twin, Opportunity, touched down in a different part of the Red Planet. Both golf-cart-size rovers were tasked with looking for signs of past water activity during their missions, which were originally planned to last three months.
Spirit encountered outcrops and regolith composed of opaline silica (amorphous SiO2nH2O) in an ancient volcanic hydrothermal setting in Gusev crater.
An origin via either fumarole-related acid-sulfate leaching or precipitation from hot spring fluids was considered possible. ""However, the potential significance of the characteristic nodular and [millimeter]-scale digitate opaline silica structures was not recognized,"" Ruff and Farmer noted in the new study.
El Tatio: Mars-like conditions
The physical environment of El Tatio offers a rare combination of high elevation, low precipitation rate, high mean annual evaporation rate, common diurnal freeze-thaw and extremely high ultraviolet irradiance.
""Such conditions provide a better environmental analog for Mars than those of Yellowstone National Park (USA) and other well-known geothermal sites on Earth,"" suggested Ruff and Farmer. ""Our results demonstrate that the more Mars-like conditions of El Tatio produce unique deposits, including biomediated silica structures, with characteristics that compare favorably with the Home Plate silica outcrops. The similarities raise the possibility that the Martian silica structures formed in a comparable manner.""
Biosignature definition
Previously, a NASA science team defined a potential biosignature as ""an object, substance and/or pattern that might have a biological origin and thus compels investigators to gather more data before reaching a conclusion as to the presence or absence of life.""
""Because we can neither prove nor disprove a biological origin for the microstromatolite-like digitate silica structures at Home Plate, they constitute a potential biosignature according to this definition,"" Ruff and Farmer wrote.
Spirit of future exploration
Spirit bogged down on Mars in May 2009, becoming stuck in soft soil.
In late January 2010, after months of attempts to free the rover, NASA dubbed the wheeled robot a stationary research platform. The lack of mobility and the harsh climes of Mars conspired to seal Spirit's fate, with attempts to regain contact with the robot ending in May 2011. Subsequently, NASA announced the end of contact efforts and the completion of Spiritâ€™s mission. (Opportunity is still going strong today.)
The ASU researchers suggested that a future and specially instrumented rover mission could perhaps provide a more definitive assessment of possible biogenicity of Home Plate silica structures.
""However, because of the challenges in obtaining unambiguous evidence in situ, coordinated microscopic and compositional analyses of samples returned to laboratories on Earth may be required to reach a robust conclusion as to the presence or absence of past Martian life in these rocks,"" Ruff and Farmer stated.
The new study can be viewed here."
foxnews,Is that a Yeti on a dashcam video in Russia?,"Could the dashboard video from a drive down a dark, winding, snowy road in the Russian countryside have turned up proof of the â€œmissing linkâ€ù that Yeti and Bigfoot chasers have been looking for?
'YETI' SIGHTINGS ON THE RISE IN RUSSIA
The dashcam video, posted on Youtube, was reportedly shot in the Republic of Bashkortostan, located between the Ural mountains and the Volga River near the countryâ€™s Kazhakstan border.
In the video, the carâ€™s driver and passengers are talking in Russian about Yetis (you can make out the word a couple of times in their conversation) when about 45 seconds into the video, a blurry figure darts across the road within range of the carâ€™s headlights!
RUSSIAN AND US SCIENTISTS GATHER TO HUNT DOWN YETI
The vehicle stops immediately and its engine cuts out before it is restarted and continues over the figureâ€™s tracks, before reversing to get a better look.
Could the alleged sighting of the alleged cousin of the alleged legendary Bigfoot be legit? Allegedly?
Da, or nyet?
Tell us in comments."
foxnews,Apple responds to claims that multiple older iPhones have gone up in flames,"A Chinese consumer group that's ""loosely"" affiliated with the government said it has received eight reports from iPhone 6 users who own devices that have caught fire spontaneously. That's not the greatest news for Apple at this time, considering the iPhone battery performance issues it's already dealing with. But before you start to jump to conclusions, it's important to make it crystal clear that no, iPhones do not have a serious battery problem like the Galaxy Note 7.
All battery-powered devices have a theoretical risk of explosion. It happens very infrequently with most devices, which is why it was immediately apparent that the Galaxy Note 7 has a more serious issue -- dozens of users reported unusual overheating and explosions immediately after the phone launched. Samsung ultimately had to admit defeat and cancel the handset two months after its release.
According to The Wall Street Journal, Shanghai's Consumer Council is the group that issued the third battery-related complaint against Apple in China. The previous two concern spontaneous iPhone shutdowns even when there's still plenty of juice left in the device.
Apple responded and stated that it has analyzed the affected iPhone 6 units and determined that the fires were caused by ""external physical damage."" The company also instructed customers to visit an Apple store or contact company support if they experience any issues with their iPhones.
""We appreciate that customers are more concerned than ever about the performance and safety of batteries in their mobile devices,"" an Apple statement reads.
Even so, Apple's battery troubles are far from over in the region. Earlier this week, Apple acknowledged that its iPhone 6s battery drain problem is more widespread than initially believed, saying that a software update might fix it. The company offers a free iPhone 6s battery replacement program, but it's not available to all iPhone 6s users in the region.
Meanwhile, local consumer groups say that older iPhone models and iPhone 6s units not covered by the program are also affected by the same spontaneous shutdowns."
foxnews,Travel Photos,"Â©2016 FOX News Network, LLC. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. All market data delayed 20 minutes. New Privacy - New Terms of Use (What's New) - FAQ"
foxnews,"Trump's DC hotel posing ethical concerns, as delegations book their stay","Vice President-elect Mike Pence is using the capitalâ€™s glamorous new Trump International Hotel as a backdrop for major events. The Bahrain government is hosting its â€œnational dayâ€ù reception at President-elect Donald Trumpâ€™s elegant D.C. property Wednesday. This, amid reports that delegations from foreign countries are eagerly snapping up pricy rooms at the Pennsylvania Avenue location.
Taken together, the developments give a snapshot of the kind of ethical entanglements Trump could face with his newest luxury property -- and the broader conflict of interest questions surrounding his business empire -- as he prepares to move into the White House less than a mile away.
One Asian diplomat recently told The Washington Post: ""Why wouldn't I stay at his hotel blocks from the White House, so I can tell the new president, 'I love your new hotel!' Isn't it rude to come to his city and say, 'I am staying at your competitor?'""
Larry Noble, general counsel with the Campaign Legal Center, cited this kind of scenario as a problem.
â€œThey are saying that of course we'll stay at the Trump hotel. We're going to see the president and when we see the president, we want to say you have a wonderful hotel there,â€ù he told Fox News. â€œSo he's really profiting from this. It really creates real conflicts of interest.â€ù
At issue is the â€œforeign emoluments clauseâ€ù of the Constitution, which bars U.S. government officials from accepting gifts from foreign powers without congressional approval.
Bahrain isnâ€™t the only foreign government sending money into the Trump Organizationâ€™s coffers this month. The Azerbaijani Embassy is hosting a Hanukkah party at the Trump hotel next week.
Trump and his family say theyâ€™re trying to put up the necessary firewalls to settle any ethical questions.
Shortly after his election, Trump declared he would be distancing himself from the business and making sure his children take on a bigger role in the Trump Organization.
He and daughter Ivanka told CBSâ€™ â€œ60 Minutes the companyâ€™s brand paled in comparison to the importance of governing.
â€œI don't think it matters. This is so much more important,â€ù Ivanka Trump said. â€œAnd more serious. And so â€_ you know, that's the focus.â€ù
Donald Trump echoed his daughter message
â€œThis is big league stuff. This is â€_ our country. Our country is going bad. We're going to save our country. I don't care about hotel occupancy. It's peanuts compared to what we're doing,â€ù he said.
With the president-elect now promising a Dec. 15 news conference where he will officially turn over the business to his children, good government groups are suggesting that is not enough â€“ and the entire family should get out of the business.
â€œI think this is a really dangerous area and I think he's going to see it,â€ù Noble said. â€œHopefully he's going to see it, and they're just going to divest.â€ù
In one curious development, while Ivanka Trump and her father said she and her siblings were taking on a bigger role in the business, reports have surfaced that she and her husband are moving to Washington â€“ suggesting she may instead be taking on a bigger role in the government and raising more questions of whoâ€™s poised to run the family business.
Ed Henry currently serves as Fox News Channel's (FNC) chief White House correspondent. He joined the network in June 2011."
foxnews,Great Online Deals for Holiday Photos,"At this time of year, you'll often find me on websites such as Shutterfly and Snapfish looking for ways to turn favorite holiday photos into greeting cards, calendars, books, and other novelty items.
I find that they make great gifts for family and friends. And right about now is when the photo-printing services start rolling out special offers and promotions, many of which I will share with you below.
Unlike the days of old, you don't need to trudge to the drugstore to pick up your prints. You simply upload your photo, place your order, and wait for it to arrive in the mail.
A Few Quick Tips
Look for deals when you open an account. Most services provide some sort of promotion. When you join Shutterfly, for example, you get 50 free 4x6 prints, a magnet, and a set of address labels.
Review your discounts. Many services tally up offers in a particular order. Sometimes they can be combined. Other times they cannot. I recently ordered a Christmas card from one service, and when I checked out, the site automatically determined which discount was best. (The one that included free shipping.) I had a $20 off coupon that indicated it could be combined with other offers, so I added that. But when I input the coupon code, the site increased the total price. Before checking out, I contacted customer service to resolve the problem.
Don't be afraid to use customer service. These days, most major photo-printing sites provide various ways to contact them. When I ran into the problem above with my Christmas card order, I used online chat, which allowed me to text with a rep in real time. In the end, I had a record of our full conversation.
Try out the app. It often lets you order prints straight from the photo archive on your mobile device. Blurb even lets you create entire photo books using its app. And once the project is complete, you can share it with others via Facebook and Twitter.
Take advantage of the shipping offers. If you act soon, you can choose the economy option, which is sometimes free. But if you're in a rush, you can request expedited or even same-day delivery. Some sites offer easy-to-use calendars to help you see when your order is likely to arrive.
Discounts and Special Offers
Here are a few deals available right now. Be sure to keep checking the websites, though, because photo-printing services are continually updating their offers:
Amazon: The online retailer just entered the photo-printing business this year. So it's worth checking out. The product selection isn't quite as diverse as what you find on Shutterfly and Snapfish, but Amazon is offering a 60 percent discount on cards, calendars, and books. And Amazon Prime members get expedited delivery free on orders of $15 or more. Promotion code: HOLIDAY
Blurb: Although the service doesnâ€™t handle prints or cards, it does offer a wide variety of templates for creating and printing photo books. Through Dec. 8 you'll get 40 percent off photo-book orders. Promotion code: THRILL40
CVS Photo: The following discounts are available through Dec. 10: 40 percent off on cards (promotion code: MERRY40), photo books (MERRYBOOK), canvas prints (MERRYCANVAS), and calendars (MERRYCAL); 30 percent off on photo ornaments (MERRYTREE); and if you order 100 or more 4x6 prints, you only have to pay 11 cents each (PICK11).
MPix: Through Dec. 7 you get 30 percent off holiday photo cards. Promotion code: 2016CARDS
Shutterfly: If you use the promotion code at checkout, you get free economy shipping on printed orders of $49 or more, plus two $20 off coupons (one for you and one for a friend) on orders of $50 or more. And those can be combined with other site offers. If you like to design and create your own photo books, Shutterfly is also offering one free 8x8 hardcover volume or a $30 discount on a larger-sized option. All discounts are good through Dec. 15. Promotion code: SHIP49
Snapfish: When you use the promotion code 29FS1116 through Dec. 15, you get free shipping on orders of $29 or more. There are also a few specials available through Dec. 31: an 8.5x11 wall calendar for about $8 (BESTCAL), an 8x11 hardcover photo book for about $10 (BESTBOOK), and premium card sets for sale at 60 percent off (CARDSET).
Walgreens: Through Dec. 7, youâ€™ll get 50 percent off everything on the site when you use the promotion code PHOTODEAL50. You can also save on photo orders of $50 or more (FSORDER50) and get 40 percent off on canvas prints (CANVASTV40).
Copyright Â© 2005-2016 Consumers Union of U.S., Inc. No reproduction, in whole or in part, without written permission. Consumer Reports has no relationship with any advertisers on this site."
foxnews,Ancient plants in Israel give clues about real 'Paleo' diet,"Mom was right: Eat your vegetables. We were born to be herbivores.
Researchers in Israel have discovered the remains of 780,000-year-old edible plants that reveal the plant-based diet of the earliest humans, according to the Hebrew University of Jerusalem.
The more than 9,000 plant remains were discovered on the shoreline of Lake Hula, in the northern Jordan Valley. They date back to the Acheulian culture of 1.75-0.25 million years ago.
Now theyâ€™re giving scientists an opportunity to study the plant-based diet of prehistoric humans from the Pleistocene age.
The remains of the plants, many of which are considered extinct, were found during an archaeological excavation at Gesher Benot Ya'aqov. The damp conditions and lack of oxygen at the waterlogged site under the Jordan River and Lake Hula preserved the plant remains for hundreds of millennia.
RARE, GOLD ROMAN COIN DISCOVERED IN JERUSALEM
""This region is known for the wealth of plants, but what surprised us were the sources of plant food coming from the lake,â€ù Dr. Yoel Melamed of the Faculty of Life Sciences at Bar Ilan University, said in a statement. â€œWe found more than 10 species that existed here in prehistoric times but no longer today, such as two types of water nuts, from which seven were edible.""
Among the remains were 55 species of edible plants, including seeds, fruits, nuts, leaves, stems, roots and tubers.
""In recent years,â€ù said Naama Goren-Inbar, a professor at the Institute of Archeology at the Hebrew University of Jerusalem, â€œwe were met with a golden opportunity to reveal numerous remains of fruits, nuts and seeds from trees, shrubs and the lake, alongside the remains of animals and human-made stone tools in one locality.""
Gesher Benot Ya'aqov is also where Goren-Inbar found the earliest evidence of the use of fire in Eurasia.
""The use of fire is very important because a lot of the plants are toxic or inedible,â€ù Goren-Inbar said in the statement. â€œUsing fire, like roasting nuts and roots for example, allows the use of various parts of the plant and increases the diversity of the plant component of the Acheulian diet, alongside aquatic and terrestrial fauna."""
foxnews,Power Play: Dingell on what's next for House Dems?,
foxnews,Scientists develop robotic hand for people with quadriplegia,"Scientists have developed a mind-controlled robotic hand that allows people with certain types of spinal injuries to perform everyday tasks such as using a fork or drinking from a cup.
The low-cost device was tested in Spain on six people with quadriplegia affecting their ability to grasp or manipulate objects.
By wearing a cap that measures electric brain activity and eye movement the users were able to send signals to a tablet computer that controlled the glove-like device attached to their hand.
Participants in the small-scale study were able to perform daily activities better with the robotic hand than without, according to results published Tuesday in the journal Science Robotics.
The principle of using brain-controlled robotic aids to assist people with quadriplegia isn't new. But many existing systems require implants, which can cause health problems, or use wet gel to transmit signals from the scalp to the electrodes. The gel needs to be washed out of the user's hair afterward, making it impractical in daily life.
""The participants, who had previously expressed difficulty in performing everyday tasks without assistance, rated the system as reliable and practical, and did not indicate any discomfort during or after use,"" the researchers said.
It took participants just 10 minutes to learn how to use the system before they were able to carry out tasks such as picking up potato chips or signing a document.
According to Surjo R. Soekadar, a neuroscientist at the University Hospital Tuebingen in Germany and lead author of the study, participants represented typical people with high spinal cord injuries, meaning they were able to move their shoulders but not their fingers.
There were some limitations to the system, though. Users had to have sufficient function in their shoulder and arm to reach out with the robotic hand. And mounting the system required another person's help.
Jan Schwab, an expert on spinal cord injury at Berlin's Charite hospital who wasn't involved in the research, called it an interesting pilot study that needs to be followed up with further clinical tests.
""Bigger studies will be very important to find out which patients respond well, less well or not at all,"" Schwab said.
Soekadar said the system could be brought to market within two years at a cost of between 5,000 and 10,000 euros ($5,370 to $10,740), depending on functionality.
The device could also be used to help re-train the brain of stroke patients undergoing rehabilitation, he said."
foxnews,O'Reilly: 'Dependent' Cities Like New York 'Will Never Embrace Trump',
